"BOOK_ID","Senti_S1","Senti_S2","Senti_S3","Senti_E1","Senti_E2","Senti_E3","S_count","Avg_S_len","Flesch","W_count","Noun_Cnt","guten_genre"
"pg10067",113.712984546318,108.686859553948,100.032114094614,114.926258116883,109.709646769506,106.407273457906,5048,13.7737717908082,73,69530,304,"Detective and Mystery"
"pg1032",102.48455537518,116.676677489177,110.646354212681,108.524879476584,108.470942816873,111.437620983353,911,19.6926454445664,-6.11,17940,92,"Literary"
"pg10379",109.937154647521,108.580827067669,112.687832154296,111.787833150785,120.386426919964,112.020030602309,8891,17.1335057923743,78.42,152334,495,"Literary"
"pg10473",105.86039910382,103.315250150693,102.909634317862,116.009508348794,111.562823968484,107.959994683679,8798,10.5061377585815,87.65,92433,571,"Western Stories"
"pg105",119.793230578945,103.531459435626,108.385511743945,124.490852401567,111.504632188143,110.016666666667,3647,22.9514669591445,60.38,83704,277,"Literary"
"pg10812",112.731481481481,103.773422296358,120.404751975853,109.544612794613,117.398015105462,106.147186147186,1065,16.6948356807512,74.42,17780,88,"Literary"
"pg10826",116.667274452601,109.086546956445,104.788342609771,107.503516366674,121.299138509245,112.426821983274,1115,25.4807174887892,67.12,28411,391,"Literary"
"pg108",111.057231299167,106.158369408369,100.410737091772,97.6006844236011,106.356392106392,111.807355112588,7806,14.4438893159108,76.35,112749,782,"Detective and Mystery"
"pg10943",107.245835782873,114.03700586108,104.1909281195,99.6018156120896,106.208333333333,97.852059556605,3074,13.3536109303839,76.45,41049,253,"Detective and Mystery"
"pg11004",104.894706506775,121.614411707695,108.603025793651,109.626610015499,123.061450314391,116.839359986419,8799,8.3781111489942,82.95,73719,1123,"Literary"
"pg11005",102.694821592549,112.771720402317,116.06182968683,114.570838594276,107.384260538516,106.341108654938,8501,7.76638042583225,83.96,66022,831,"Literary"
"pg11259",109.028698752228,110.196047779381,108.231254342365,117.012013936356,115.228775853776,112.767808654905,7299,9.61076859843814,88.16,70149,381,"Literary"
"pg11280",108.942101426638,106.763211382114,103.656767366445,123.744758509464,106.407203907204,111.358171663727,3049,26.4903246966218,61.03,80769,273,"Literary"
"pg11520",109.281492192019,100.564601387772,111.301824757521,102.539682539683,108.765873015873,106.443011463845,10737,9.73055788395269,81.02,104477,251,"Literary"
"pg1155",109.966060985798,105.73527905786,111.677721088435,116.479736388273,116.843853820598,103.639455782313,8016,9.69249001996008,82.54,77695,542,"Detective and Mystery"
"pg11581",108.16030789826,99.7158922558923,110.893518518519,93.4735899021613,103.356040564374,109.701576576577,4565,15.9866374589266,74.42,72979,302,"Literary"
"pg11655",113.821634160344,113.459744503862,103.837590735739,115.142198381329,122.194408877507,117.112439328348,7109,15.8975945983964,77.57,113016,895,"Literary"
"pg11674",112.756388452817,107.748834498834,99.9615223957329,103.397356215213,100.569968057832,111.936641697878,4914,18.482498982499,75.54,90823,667,"Literary"
"pg1190",108.325337284075,109.608658008658,113.420356158993,102.307176391683,107.9765917603,106.72093837535,548,26.4726277372263,-89.71,14507,30,"Ghost and Horror"
"pg1193",119.129631191319,106.750514857311,114.763593380615,116.846652236652,114.022443403591,100.209986772487,1196,19.5142140468227,-12.71,23339,116,"Literary"
"pg11931",111.267187940265,114.488672438672,116.552653399668,116.146624472574,113.162277537278,119.109461966605,339,16.3687315634218,76.66,5549,95,"Literary"
"pg11970",106.453666344443,106.152557319224,121.123338870432,127.053386428386,131.872467071935,125.815395021645,5895,15.5692960135708,73.71,91781,331,"Literary"
"pg11",106.085460957171,101.290591931217,106.781375686961,104.562169312169,108.070776255708,101.927303791887,1543,16.6740116655865,63.8,25728,155,"Literary"
"pg12102",109.070121702197,104.431880024737,117.989831349206,116.26386962552,106.320177970178,109.072846520763,5625,12.688,83.19,71370,664,"Literary"
"pg1218",118.023182957393,106.814484897818,109.466991341991,106.912008281574,108.23412187228,105.043103448276,10285,15.709965969859,74.83,161577,759,"Detective and Mystery"
"pg12181",106.956216298322,108.607892416226,103.87839433294,100.002159755449,97.6400305039546,96.9315590220763,1649,14.6312916919345,86.54,24127,139,"Literary"
"pg12303",115.249399939994,105.829386882958,110.695541271299,107.589499389499,121.976259689922,113.739389695272,7692,20.5136505460218,65.8,157791,617,"Literary"
"pg12304",101.448566805363,99.0171559343434,106.227897252091,107.121356747827,104.372023809524,107.079248366013,5829,14.9876479670612,67.83,87363,384,"Literary"
"pg12360",117.820872274143,108.890922707783,113.772941735905,119.333552523426,99.5586036346906,108.409812409812,10987,10.4782015108765,81.43,115124,256,"Literary"
"pg12450",109.241174117412,118.838644688645,113.391946992864,124.820843776107,109.446517412935,101.476075223478,5904,17.9676490514905,72.8,106081,515,"Literary"
"pg12453",118.722687106708,108.031137707608,116.969373410095,117.315046637212,113.896172248804,121.886827458256,7149,22.0072737445797,58.76,157330,989,"Literary"
"pg12470",109.159489237614,100.055894573967,100.717267612837,119.953122274551,118.19360608093,121.134997157724,6642,15.063233965673,74.12,100050,512,"Literary"
"pg12520",97.5223250201126,108.775371496116,113.491469314999,121.686746987952,108.835643962226,105.975981620718,8810,18.37752553916,64.75,161906,802,"Literary"
"pg1253",99.8948708836769,112.872484768318,104.071251253455,104.323484413846,109.390453834116,103.015530925014,643,18.9160186625194,76.76,12163,151,"Literary"
"pg12672",106.985515873016,114.229470024925,104.843121693122,116.931628056628,107.615233127528,106.591068917018,5115,14.69403714565,76.15,75160,312,"Literary"
"pg1273",113.910283015953,109.359075719602,114.562066920978,96.7773581293989,99.0560780215953,99.7057684862563,732,19.2185792349727,43.26,14068,175,"Literary"
"pg12733",111.606947856948,101.760416666667,102.317022263451,99.6296296296296,109.489942528736,100.352451878187,10479,17.6477717339441,66.17,184931,1483,"Literary"
"pg12886",117.099780701754,126.379995608256,99.2502435064935,122.690122120678,107.506398809524,109.421992243867,1560,14.750641025641,73.41,23011,185,"Literary"
"pg12935",115.815608465608,109.038992408558,105.258698766511,112.005665902725,111.723558471007,117.43435234176,5548,12.0537130497477,85.52,66874,241,"Literary"
"pg12972",112.342901234568,110.257962586276,105.573964131107,106.330047462578,102.224456266625,103.795605306799,4670,14.4895074946467,78.89,67666,363,"Literary"
"pg12989",109.761643217893,112.020224852503,103.305375180375,110.712461229703,104.521542646543,102.475193107546,2212,15.1356238698011,71.89,33480,264,"Literary"
"pg12",107.68018173453,105.77690773279,101.111803248431,101.773082942097,103.518925518926,106.737502280606,1927,14.5864037363778,69.69,28108,139,"Literary"
"pg13057",101.458333333333,111.105442176871,109.384502923977,100.491622574956,101.335368611488,100.583987575513,4243,13.1416450624558,77.57,55760,298,"Literary"
"pg13162",111.892145775573,113.447190802029,116.467299299616,114.643686454031,119.303966632618,119.088896208461,1949,13.7998973832735,85.93,26896,168,"Literary"
"pg13178",101.423134405277,105.725040319158,108.182784329336,102.000173347576,96.1926314426314,98.1515043828477,5146,14.433734939759,78.38,74276,354,"Literary"
"pg13212",101.880952380952,98.4656635499332,111.496612263854,105.820457705874,122.920035068291,110.361482471777,5957,16.6138996138996,74.83,98969,457,"Literary"
"pg13257",109.768519745561,112.51404494382,97.543142043142,93.6995457594049,94.7198412698413,93.2089006002049,8823,11.9860591635498,78.89,105753,432,"Literary"
"pg13273",122.091975308642,108.500543596434,111.195746527778,111.584117032393,118.426032476665,112.924366263919,4220,13.4063981042654,80.31,56575,354,"Literary"
"pg13312",113.407242063492,115.927404677405,109.766666666667,100.582837301587,116.805116180116,105.712425595238,5907,13.9735906551549,75.64,82542,309,"Literary"
"pg1342",109.908274926132,112.842984547098,118.051771213536,118.752305054253,119.085826210826,108.644786910198,5997,20.3878605969652,64.95,122266,264,"Literary"
"pg13432",108.244558957862,111.209021560963,114.855047434835,111.62030075188,104.909066413696,111.546623386901,2057,22.5357316480311,68.23,46356,321,"Literary"
"pg13454",123.27071737786,116.920995670996,116.994621540076,116.149229172188,119.401519533098,112.404541446208,8872,19.3756762849414,69.96,171901,1160,"Literary"
"pg13541",102.765792051086,103.144687759049,100.89442039442,114.861017165705,108.369518354274,114.697730840588,2812,26.2101706970128,60.38,73703,811,"Literary"
"pg13572",105.50565312213,103.968762718763,110.690603312032,106.494784151034,111.571310116086,108.552476823025,3489,18.6858698767555,60.08,65195,490,"Literary"
"pg13720",109.082078695715,105.86815660912,99.2369472712879,107.233931020968,113.473777958153,101.370724346076,4875,19.5380512820513,65.76,95248,1151,"Sea and Adventure"
"pg13721",105.31942981943,111.908751696065,115.770163690476,99.3357843137255,101.566358024691,105.799778983323,7059,14.2408273126505,72.19,100526,1341,"Sea and Adventure"
"pg13776",113.807114512472,115.884943909137,106.451765324048,120.588244193083,118.258494334883,110.826446280992,3480,14.5632183908046,77.06,50680,515,"Literary"
"pg13913",112.73199023199,107.217456252668,110.739128123339,112.172223704758,109.086955662298,111.035600945239,4882,16.2304383449406,72.39,79237,548,"Literary"
"pg1392",110.882328042328,107.785484717303,113.261385929925,109.864357864358,111.859756097561,122.240558292282,449,22.4877505567929,-1.2,10097,174,"Christmas Stories"
"pg13960",107.988465481887,110.299824885762,98.2648809523809,109.344159990712,108.933531746032,100.377557319224,10375,9.73021686746988,80.41,100951,387,"Love and Romance"
"pg13985",110.7315287226,104.968541016928,104.956600361664,117.504309609148,107.34011627907,96.4022650258605,10354,16.9923700985127,77.87,175939,989,"Literary"
"pg1400",98.8119184946108,101.122207224735,98.031746031746,108.459295334295,111.843768371546,122.485095976375,9824,18.9672231270358,70.36,186334,815,"Literary"
"pg14051",112.389240506329,111.597819850832,121.82960704607,117.052398989899,111.367081992082,109.393602693603,3885,17.1220077220077,76.96,66519,591,"Love and Romance"
"pg14079",106.195399113082,118.812068668047,108.083168309232,121.102716727717,114.59665240063,104.004876209932,3437,13.5365144020949,77.27,46525,296,"Sea and Adventure"
"pg14145",106.940784832452,108.537659200703,106.638471177945,113.779405779406,106.817590424148,93.9856616047092,9589,12.4182917926791,81.33,119079,857,"Literary"
"pg141",106.622333829365,120.761316872428,113.687602627258,120.78453953454,126.120567375887,114.068576388889,6877,23.2851534099171,70.77,160132,438,"Literary"
"pg1422",110.323082010582,110.093896713615,115.180976430976,108.283668386408,103.353056147832,113.490497076023,276,18.9166666666667,35.04,5221,109,"Literary"
"pg14253",117.234523809524,109.115301707894,101.87752019002,107.999936069556,101.533441930349,102.761684563633,13197,13.1587482003486,78.28,173656,581,"Literary"
"pg14303",114.741334315802,115.44599532412,117.761960652806,114.144164277281,112.875665254697,108.379539030224,8651,16.3816899780372,76.35,141718,966,"Literary"
"pg14382",121.02058982684,106.984036796537,102.167150600077,119.807216592931,119.354394509,126.144841269841,6417,15.5352968676952,74.02,99690,527,"Literary"
"pg14395",106.933978337593,113.938099053724,118.101937092443,109.386857586858,105.93641647867,102.958126036484,5519,12.9298786011959,78.38,71360,694,"Literary"
"pg14420",109.781164176325,118.314782439782,114.577464202464,116.996237889095,121.436192915066,121.795343137255,5388,31.9643652561247,55.85,172224,904,"Literary"
"pg14427",109.040019809251,118.492706237425,109.870508403959,111.142618204307,93.9238095238095,110.034083881486,3258,21.6022099447514,66.81,70380,210,"Literary"
"pg14454",97.8048433048433,104.912738496072,111.4648339599,101.506875230712,102.490523365523,102.057953484424,7575,16.0489768976898,74.83,121571,406,"Literary"
"pg14490",108.675103980986,112.53225503568,117.49744509676,102.145743145743,103.003321123321,108.204281243014,4730,17.8048625792812,64.54,84217,629,"Literary"
"pg14523",119.451523319448,123.336646279307,112.357929020665,109.830802194439,95.3335025082013,99.392582972583,1717,19.6895748398369,68.33,33807,181,"Literary"
"pg14581",105.364265364265,108.810280486337,111.792881944444,106.503080618212,97.1588541666667,97.4412698412698,6360,13.9836477987421,70.16,88936,236,"Literary"
"pg14605",104.403326877465,112.367880485528,108.267496392496,101.739100529101,111.316790973417,99.1709183673469,6973,17.4682346192457,75.13,121806,571,"Literary"
"pg14669",115.658220598846,108.655096576783,115.394547888524,112.711130836131,110.015605493134,116.122685185185,7665,13.2609262883235,77.37,101645,888,"Literary"
"pg14687",107.76224464241,110.772090988626,112.097472322262,113.128545499639,120.229286624918,111.196481622952,3492,19.5461053837343,71.48,68255,276,"Literary"
"pg14708",111.81470959596,121.153369534948,114.627037178508,119.501145912911,102.149943310658,118.090005316321,1833,20.1254773595199,73.31,36890,209,"Love and Romance"
"pg14712",105.736437160723,106.774903379449,104.845763147743,102.096047942987,100.31426366843,94.054012345679,5386,18.702376531749,73.61,100731,443,"Literary"
"pg14852",109.417397417397,112.646606132522,102.252237511166,124.93765084473,103.285344736564,106.684148434148,10189,13.8455196780842,71.89,141072,753,"Literary"
"pg14858",100.710479996194,112.508495932409,105.912164224664,116.992789934571,110.221088435374,112.378691678692,6173,13.4323667584643,77.77,82918,278,"Literary"
"pg14885",105.145787653905,110.014948333914,102.560013717421,100.420110192837,103.868649115742,103.296106503938,3983,15.6495104192819,76.05,62332,372,"Literary"
"pg15013",102.021602793342,110.89748161891,105.234514130856,91.3052248677249,105.669416386083,108.153327596099,9538,9.6382889494653,79.9,91930,368,"Literary"
"pg15067",102.598148148148,100.655113962343,99.7619047619048,111.873178951946,109.795995670996,115.075596045745,4465,28.8665173572228,44.55,128889,1914,"Literary"
"pg15094",109.202881994549,108.783897494741,104.727078477078,114.661986405407,106.847906403941,115.787437343358,5118,12.3940992575225,73,63433,375,"Literary"
"pg15116",111.171063311688,107.860941043084,106.728803603804,113.836349820392,119.288870851371,117.834245516388,4433,15.2885179336792,65.25,67774,268,"Literary"
"pg15117",114.077708006279,108.827087007643,113.142344497608,117.315046637212,113.271978021978,119.018663074514,3791,23.9414402532313,56.52,90762,789,"Literary"
"pg15123",128.896317498291,123.921860410831,112.078066378066,100.539942753058,116.535602503912,90.9034219748505,5668,9.1711362032463,84.47,51982,469,"Literary"
"pg15179",104.27277473988,110.992051978754,119.142675016461,109.955078455078,108.022663610899,119.383743796854,1164,15.8539518900344,72.05,18454,226,"Literary"
"pg15181",117.023482469911,121.394145084935,121.614742437856,104.970454037355,103.76511325375,108.085125448029,1285,15.9307392996109,82.99,20471,95,"Literary"
"pg15182",107.470690615427,101.490511959792,120.659238909239,114.129234679693,112.819769119769,106.613300492611,1473,16.5268160217244,73.51,24344,110,"Literary"
"pg15183",123.732319922687,108.827845702846,106.689103990506,102.534242910647,97.1718902590115,113.518976393976,1397,16.5640658554044,81.16,23140,95,"Literary"
"pg15244",94.5663780663781,101.934377610693,101,122.292313664596,118.761183261183,111.219323180167,2326,25.5864144453998,63.97,59514,313,"Literary"
"pg15275",109.485993657505,113.814062281804,102.901375095493,117.458498677249,107.80413510101,102.025793650794,6656,26.5603966346154,71.31,176786,753,"Literary"
"pg15315",111.919135802469,108.01150224045,117.104371921182,115.595388407888,116.922172619048,126.795554753888,10204,17.0840846726774,69.86,174326,723,"Literary"
"pg15317",105.926245340308,107.906590124332,105.043769521618,110.501053518753,105.590948685461,107.645172498896,319,12.5924764890282,84.61,4017,79,"Literary"
"pg15321",112.462610365153,103.765013116279,112.509149150715,103.38609892993,120.923061396276,116.407643508253,7441,25.5157908883215,72.84,189863,604,"Literary"
"pg15430",112.299233625453,121.25845508658,114.010583572272,109.857655502392,115.952911467617,107.60763834559,4888,17.2907119476268,58.96,84517,326,"Literary"
"pg15498",110.981546231546,109.866387686388,106.102461209203,115.920200380428,109.140963203463,97.6095848595849,10228,14.4374266718811,77.47,147666,1094,"Literary"
"pg15527",102.993174603175,96.2499502413296,100.500882523909,113.802648578811,112.24633431085,104.622519187737,10030,14.3546360917248,77.57,143977,882,"Literary"
"pg15671",110.265548198241,109.489165725579,115.086979620112,107.820453209342,103.944688068065,106.675450153711,6110,10.7674304418985,80.51,65789,500,"Literary"
"pg15704",112.392272918822,110.475192120541,115.8735341925,112.096908939014,108.537945448272,106.646722325294,10237,14.3472697079222,70.23,146873,1110,"Literary"
"pg15743",110.092116161616,103.547801404944,100.145717893218,111.829286978772,106.70127197905,107.002676534935,5603,13.069784044262,79.4,73230,591,"Literary"
